t_band_power,slope,sa_ent,accuracy
8.384584,-2.56079077720642,0.765268390087827,0.405555555555556
7.58255,-2.45321416854858,0.81512225177488,0.263333333333333
7.090571,-2.23342967033386,0.850840743926135,0.216666666666667
8.016059,-2.65261268615723,0.777164915303021,0.144444444444444
7.669338,-3.19568204879761,0.853063651680406,0.144927536231884
7.567413,-3.09261465072632,0.862615270106213,0.320833333333333
6.732049,-2.49451661109924,0.972807834400145,0.833333333333333
7.170259,-3.08634185791016,0.782277680116659,0.25
7.441858,-3.05597352981567,0.875444138290286,0.245833333333333
7.27632,-2.57793951034546,0.805803076085175,0.38
7.269249,-2.95360732078552,0.615309602446478,0.254166666666667
7.306178,-2.52207636833191,0.940355186237158,0.580275229357798
8.22997,-3.33314681053162,0.52927165684379,0.294444444444444
7.342254,-2.94368171691895,0.905417221818921,0.258333333333333
7.425336,-3.17474818229675,0.751883879111916,0.369791666666667
7.513028,-2.90236949920654,0.895974576672994,0.483333333333333
7.193195,-2.80272817611694,0.944652307351013,0.475
7.214962,-2.46417593955994,0.754280180774813,0.391891891891892
7.566002,-3.02400231361389,0.86513080376242,0.72
6.989923,-2.39482259750366,0.9289515481258,0.31
7.02632,-2.56886744499207,0.410660145650362,0.606666666666667
6.866139,-2.55031299591064,0.973024804178356,0.755
6.880508,-2.40197229385376,1.06616205538552,0.65
6.981169,-2.29337382316589,1.19752764454792,0.778571428571429
7.204313,-2.45703601837158,1.13306480068673,0.316
7.246293,-2.44929766654968,0.965059335730661,0.255
7.321155,-2.42275404930115,1.02584185497311,0.615
7.514998,-2.29463911056519,1.34039569897742,0.36
6.550449,-2.63518857955933,1.04852454209798,0.355
7.84839,-2.89924502372742,0.708799337741405,0.176666666666667
8.58196,-2.92352843284607,0.774584950673194,0.0833333333333333
7.179935,-2.41055011749268,0.985051007223154,0.844444444444444
7.226178,-2.8148353099823,0.980517974957166,0.406666666666667
7.246634,-2.39263200759888,0.990509005042845,0.64
8.922423,-3.05497765541077,0.541595970891899,0.215555555555556
8.875437,-3.07469534873962,0.717531049359589,0.15
8.77825,-2.739990234375,0.889927587648216,0.11
8.509778,-3.01057028770447,0.850801909262287,0.373983739837398
9.119666,-2.83679437637329,0.611150467413833,0.108888888888889
8.367396,-2.06321287155151,0.98453004288768,0.442028985507246
7.387916,-2.18458151817322,1.10850167779538,0.685
7.534931,-2.54844284057617,1.03297062097307,0.5
7.485334,-2.35027480125427,1.52756513771822,0.488888888888889
